country,points,rainbow,jury.rank,tele.rank
Belgium,12,67,3,3
Finland,12,47,1,1
Greece,12,28,1,2
Great Britain,12,77,3,3
Ireland,12,36,1,3
Israel,12,NA,1,2
Italy,12,19,3,2
Netherlands,12,60,1,1
Portugal,12,65,6,1
Sweden,12,65,1,1
Switzerland,12,29,1,1
Slovenia,12,35,1,1
Spain,12,65,2,2
France,10,64,4,2
Georgia,10,21,NA,2
Iceland,10,56,2,3
Lithuania,10,21,1,5
Malta,10,35,9,1
Norway,10,66,4,2
Hungary,10,55,8,2
Denmark,8,57,2,3
Romania,8,31,7,2
Ukraine,8,12,3,5
Germany,7,54,11,1
Moldova,7,10,4,4
Latvia,6,20,10,5
Albania,5,38,6,6
Russia,5,7,11,3
Estonia,4,29,8,8
Macedonia,3,13,14,5
Montenegro,2,27,17,5
Azerbaijan,1,8,24,3
